ChEMBL ID,Smiles,Canonical_Smiles,bioactivity_class,pKi,MW,LogP,NumHDonors,NumHAcceptors
CHEMBL2387214,CC(C)C[C@@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)CNC(=O)[C@H](C)NC(=O)[C@@H](N)Cc1ccc(O)cc1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CCCCNC(=O)NCCC(=O)N(c1ccccc1)C1CCN(CCc2ccccc2)CC1)C(=O)O,CC(C[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)O)CCCCNC(=O)NCCC(=O)N(c1ccccc1)C1CCN(CC1)CCc1ccccc1)Cc1c[nH]c2c1cccc2)CCCNC(=N)N)NC(=O)[C@H](Cc1ccccc1)NC(=O)CNC(=O)[C@@H](NC(=O)[C@H](Cc1ccc(cc1)O)N)C)C,active,9.522878745,1417.7249999999997,3.267470000000003,16.0,14.0
CHEMBL4076632,O=C(Nc1ccccc1)N1C[C@H]2CC34CCC1C2C31CCN(CC2CC2)C4Cc2ccc(O)cc21,Oc1ccc2c(c1)C13CCN(C(C2)C23CCC3C1[C@H](C2)CN3C(=O)Nc1ccccc1)CC1CC1,active,9.522878745,469.62900000000025,5.0030000000000046,2.0,3.0
CHEMBL199832,Oc1ccc2c(c1)[C@@]13CCCCC1[C@@H](C2)N(C[C@@H]1CCCO1)CC3,Oc1ccc2c(c1)[C@]13CCCCC3[C@@H](C2)N(CC1)C[C@@H]1CCCO1,active,9.522878745,327.4680000000001,3.6296000000000017,1.0,3.0
CHEMBL2113675,Oc1ccc2c(c1)[C@@]13CCCCC1[C@@H](C2)N(C[C@@H]1CCCO1)CC3,Oc1ccc2c(c1)[C@]13CCCCC3[C@@H](C2)N(CC1)C[C@@H]1CCCO1,active,9.522878745,327.4680000000001,3.6296000000000017,1.0,3.0
CHEMBL584941,CCN(CC)C(=O)c1ccc(N(c2cccc(O)c2)C2CCN(CCc3ccsc3)CC2)cc1,CCN(C(=O)c1ccc(cc1)N(c1cccc(c1)O)C1CCN(CC1)CCc1ccsc1)CC,active,9.522878745,477.6740000000004,5.780900000000006,1.0,5.0
CHEMBL3309518,O=C1CCC2=C([C@@H]3Oc4c(O)ccc5c4[C@@]34CCN(CC3CC3)[C@H](C5)[C@]4(O)C2)N1CC1CCCCC1,O=C1CCC2=C(N1CC1CCCCC1)[C@@H]1Oc3c4[C@@]51[C@](C2)(O)[C@@H](Cc4ccc3O)N(CC5)CC1CC1,active,9.522878745,490.64400000000035,4.023000000000003,2.0,5.0
CHEMBL2387211,CC(C)[C@H](NC(=O)[C@@H](NC(=O)C(C)(C)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H](C)NC(=O)[C@@H](N)Cc1ccc(O)cc1)C(C)C)C(=O)N[C@@H](CCC(=O)NCC(=O)N(c1ccccc1)C1CCN(CCc2ccccc2)CC1)C(N)=O,O=C(CC[C@@H](C(=O)N)NC(=O)[C@H](C(C)C)NC(=O)[C@H](C(C)C)NC(=O)C(NC(=O)[C@@H](NC(=O)[C@H](NC(=O)[C@H](Cc1ccc(cc1)O)N)C)Cc1ccccc1)(C)C)NCC(=O)N(c1ccccc1)C1CCN(CC1)CCc1ccccc1,active,9.522878745,1130.4019999999996,2.277399999999986,10.0,12.0
CHEMBL577615,CCN(CC)C(=O)c1ccc(N(c2cccc(C(N)=O)c2)C2CCN(Cc3ccccc3)CC2)cc1,CCN(C(=O)c1ccc(cc1)N(c1cccc(c1)C(=O)N)C1CCN(CC1)Cc1ccccc1)CC,active,9.522878745,484.6440000000004,5.070200000000004,1.0,4.0
CHEMBL304196,CCN(CC)C(=O)c1ccc(N(c2ccccc2)C2C[C@@H]3CC[C@H](C2)N3)cc1,CCN(C(=O)c1ccc(cc1)N(c1ccccc1)C1C[C@@H]2CC[C@H](C1)N2)CC,active,9.522878745,377.53200000000027,4.589700000000003,1.0,3.0
CHEMBL353979,COC12CCC3(CC1C(C)(C)O)C1Cc4ccc(O)c5c4C3(CCN1CC1CC1)C2O5,COC12CCC3(CC1C(O)(C)C)C14C2Oc2c4c(CC3N(CC1)CC1CC1)ccc2O,active,9.522878745,425.5690000000003,3.387600000000002,2.0,5.0
CHEMBL569956,CCN(CC)C(=O)c1ccc(N(c2cccc(O)c2)C2CCN(CCc3ncc[nH]3)CC2)cc1,CCN(C(=O)c1ccc(cc1)N(c1cccc(c1)O)C1CCN(CC1)CCc1[nH]ccn1)CC,active,9.522878745,461.61000000000035,4.4425000000000034,2.0,5.0
CHEMBL511795,NC(=O)c1ccc2c3c1O[C@H]1c4[nH]c5ccccc5c4C[C@@]4(O)[C@@H](C2)N(CC2CC2)CC[C@]314,NC(=O)c1ccc2c3c1O[C@@H]1[C@@]43CCN([C@H](C2)[C@]4(O)Cc2c1[nH]c1c2cccc1)CC1CC1,active,9.522878745,441.53100000000023,2.965900000000002,3.0,4.0
CHEMBL143939,CC1(C)SSC(C)(C)[C@@H](NC(=O)[C@@H](N)Cc2ccc(O)cc2)C(=O)NCC(=O)N[C@@H](Cc2ccc(Cl)cc2)C(=O)N[C@H]1C(=O)O,Oc1ccc(cc1)C[C@@H](C(=O)N[C@H]1C(=O)NCC(=O)N[C@@H](Cc2ccc(cc2)Cl)C(=O)N[C@H](C(SSC1(C)C)(C)C)C(=O)O)N,active,9.522878745,680.249,1.7655000000000016,7.0,9.0
CHEMBL335936,NCCCC[C@@H](NC(=O)c1cccc2c3c([nH]c12)[C@@H]1Oc2c(O)ccc4c2C12CCN(CC1CC1)C(C4)[C@]2(O)C3)C(=O)O,NCCCC[C@H](C(=O)O)NC(=O)c1cccc2c1[nH]c1c2C[C@@]2(C34[C@H]1Oc1c4c(CC2N(CC3)CC2CC2)ccc1O)O,active,9.522878745,586.6890000000005,2.8846000000000007,6.0,7.0
CHEMBL3787263,Oc1ccc2c(c1)[C@]13CCN(CC4CC4)[C@@H](C2)[C@]1(O)Cc1cc2ccccc2nc1C3,Oc1ccc2c(c1)[C@@]13CCN([C@@H](C2)[C@]3(O)Cc2c(C1)nc1ccccc1c2)CC1CC1,active,9.522878745,412.53300000000013,3.7485000000000026,2.0,4.0
